#Task Selector: 5
#PID Parameters: kp: 0.09, kd: 0.04, ki: 0.04
#n_pos: 5
#n_vel: 15
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0 0.00 0.00 0.00 0.00 10.83 -5.67 2.17 -1.13 677004.61 -354276.77 45133.64 -23618.45
11825 0.00 0.00 0.00 0.00 8.59 -4.54 3.88 -2.04 140435.72 -70672.05 54496.02 -28329.92
23821 0.00 0.00 0.00 0.00 10.84 -6.80 6.05 -3.40 190.27 -191.00 54508.71 -28342.65
39987 0.00 0.00 0.00 0.00 9.71 -5.67 7.99 -4.53 -93.86 94.23 54502.45 -28336.37
54901 0.00 0.00 0.00 0.00 11.96 -5.67 10.38 -5.67 138.97 -0.36 54511.71 -28336.40
70718 0.00 0.00 0.00 0.00 10.84 -6.80 10.38 -5.89 -75.14 -75.41 54506.71 -28341.42
86613 0.00 0.00 0.00 0.00 9.70 -3.41 10.61 -5.67 -71.46 213.78 54501.94 -28327.17
103344 0.00 0.00 0.00 0.00 11.95 -4.54 10.83 -5.22 141.41 -71.10 54511.37 -28331.91
120092 0.00 0.00 0.00 0.00 9.71 -4.54 10.83 -4.99 -134.22 0.31 54502.42 -28331.89
135361 0.00 0.00 0.00 0.00 10.83 -3.42 10.61 -4.54 66.87 67.03 54506.88 -28327.42
152136 0.00 0.00 0.00 0.00 10.83 -4.54 10.60 -4.09 0.16 -73.68 54506.89 -28332.33
169743 0.00 0.00 0.00 0.00 10.83 -3.42 10.83 -4.09 -0.15 67.07 54506.88 -28327.86
185183 0.00 0.00 0.00 0.00 11.95 -3.42 10.83 -3.87 63.77 -0.15 54511.13 -28327.87
200508 0.00 0.00 0.00 0.00 10.83 -4.54 11.05 -3.87 -72.56 -72.70 54506.29 -28332.72
216697 0.00 0.00 0.00 0.00 10.82 -2.29 11.05 -3.64 -0.31 146.75 54506.27 -28322.94
233701 0.00 0.00 0.00 0.00 11.95 -3.42 11.28 -3.42 69.49 -69.58 9377.27 -4709.12
249610 0.00 0.00 0.00 0.00 10.82 -2.29 11.28 -3.19 -66.16 66.25 10.47 6.76
266058 0.00 0.00 0.00 0.00 9.70 -0.05 10.83 -2.52 -70.70 141.19 -6.93 28.91
281901 0.00 0.00 0.00 0.00 10.82 -1.17 10.82 -1.84 68.26 -68.30 3.88 18.07
298384 0.00 0.00 0.00 0.00 9.70 -0.05 10.60 -1.40 -70.87 70.91 -10.11 22.83
314270 0.00 0.00 0.00 0.00 9.70 -1.17 10.15 -0.95 0.09 -68.05 -5.09 23.32
331409 0.00 0.00 0.00 0.00 10.82 -1.17 10.15 -0.72 70.59 -0.11 4.38 9.06
347493 0.00 0.00 0.00 0.00 10.82 2.19 10.37 -0.27 -0.26 196.25 -5.07 26.88
363303 0.00 0.00 0.00 0.00 10.82 2.19 10.37 0.40 0.00 0.00 3.88 26.86
